business_date,row_count
20250101,1023456
20250102,1025678
20250103,1024123
20250104,1023789
20250105,1024567
20250106,1025111
20250107,1024987
20250108,1026321
20250109,1027102
20250110,1026895
20250111,1027555
20250112,1028123
20250113,1027999
20250114,1028456
20250115,1029012
20250116,1029321
20250117,1029876
20250118,1030456
20250119,1031123
20250120,1031567
20250121,1032098
20250122,1032456
20250123,1033123
20250124,1033567
20250125,1034123
20250126,1034678
20250127,1035123
20250128,1035567
20250129,1036123
20250130,1036678
20250131,1037123
20250201,1037567
20250202,1038123
20250203,1038678
20250204,1039123
20250205,1039567
20250206,1040123
20250207,1040678
20250208,1041123
20250209,1041567
20250210,1042123
20250211,1042678
20250212,1043123
20250213,1043567
20250214,1044123
20250215,1044678
20250216,1045123
20250217,1045567
20250218,1046123
20250219,1046678
20250220,1047123
20250221,1047567
20250222,1048123
20250223,1048678
20250224,1049123
20250225,1049567
20250226,1050123
20250227,1050678
20250228,1051123
20250301,1051567
20250302,1052123
20250303,1052678
20250304,1053123
20250305,1053567
20250306,1054123
20250307,1054678
20250308,1055123
20250309,1055567
20250310,1056123
20250311,1056678
20250312,1057123
20250313,1057567
20250314,500000
20250315,1058123
20250316,1058678
20250317,1059123
20250318,1059567
20250319,1060123
20250320,1060678
20250321,1061123
20250322,1061567
20250323,1062123
20250324,1062678
20250325,1063123
20250326,1063567
20250327,1064123
20250328,1064678
20250329,1065123
20250330,1065567
20250331,1066123
20250401,1066678
20250402,1067123
20250403,1067567
20250404,1068123
20250405,1068678
20250406,1069123
20250407,1069567
20250408,1070123
20250409,1070678
20250410,1071123
20250411,1071567
20250412,1072123
20250413,1072678
20250414,1073123
20250415,1073567
20250416,1074123
20250417,1074678
20250418,1075123
20250419,1075567
20250420,1076123
20250421,1076678
20250422,1500000
20250423,1077123
20250424,1077567
20250425,1178223
